STT,Route name,Site1,Site2,Site3,NumberError
1,RN301001301002,301001,301002,,80
2,RN301003301004301005,301003,301004,301005,1
3,RN301007301008301006,301007,301008,301006,98
4,RN301009301010,301009,301010,,92
5,RN301011301012,301011,301012,,78
6,RN301013301014,301013,301014,,82
7,RN301015301016,301015,301016,,82
8,RN301017301018,301017,301018,,20
9,RN301019301020,301019,301020,,34
10,RN301021301022,301021,301022,,37
11,RN301023301024,301023,301024,,21
12,RN301025301026,301025,301026,,44
13,RN301027301028,301027,301028,,26
14,RN301030301031,301030,301031,,16
15,RN301032301033,301032,301033,,84
16,RN301034301035,301034,301035,,100
17,RN301036301037,301036,301037,,76
18,RN301038301039,301038,301039,,7
19,RN301040301041301042,301040,301041,301042,91
20,RN301044301045301043,301044,301045,301043,48
21,RN301046301047,301046,301047,,57
22,RN301048301049,301048,301049,,9
23,RN301050301051,301050,301051,,30
24,RN301052301053,301052,301053,,29
25,RN301054301055,301054,301055,,37
26,RN301056301057,301056,301057,,63
27,RN301058301059,301058,301059,,35
28,RN301060301061,301060,301061,,30
29,RN301062301063,301062,301063,,4
30,RN301064301065,301064,301065,,11
31,RN301066301067,301066,301067,,66
32,RN301068301069,301068,301069,,57
33,RN301070301071,301070,301071,,58
34,RN301072301073,301072,301073,,86
35,RN301074301075,301074,301075,,70
36,RN301076301077,301076,301077,,0
37,RN301078301079,301078,301079,,29
38,RN301080301081301082,301080,301081,301082,37
39,RN301084301085301083,301084,301085,301083,84
40,RN301086301087,301086,301087,,26
41,RN301088301089,301088,301089,,19
42,RN301090301091,301090,301091,,8
43,RN301092301093,301092,301093,,9
44,RN301094301095,301094,301095,,1
45,RN301096301097,301096,301097,,23
46,RN301098301099,301098,301099,,87
47,RN301100301101,301100,301101,,5
48,RN301102301103,301102,301103,,17
49,RN301104301106,301104,301106,,14
50,RN301107301108,301107,301108,,73
51,RN301109301110,301109,301110,,42
52,RN301111301112,301111,301112,,53
53,RN301113301126,301113,301126,,71
54,RN301130301136,301130,301136,,21
55,RN301137301138,301137,301138,,14
56,RN301139301140,301139,301140,,15
57,RN301146301148,301146,301148,,3
58,RN301149301151,301149,301151,,94
59,RN301154301157,301154,301157,,82
60,RN301158301159,301158,301159,,94
61,RN301160301161301162,301160,301161,301162,1
62,RN301164301165301163,301164,301165,301163,14
63,RN301166301167,301166,301167,,21
64,RN301168301169,301168,301169,,69
65,RN301171301173,301171,301173,,80
66,RN301174301175,301174,301175,,83
67,RN301176301177,301176,301177,,47
68,RN301180301182,301180,301182,,65
69,RN301184301185,301184,301185,,60
70,RN301186301187,301186,301187,,89
71,RN301190301191,301190,301191,,30
72,RN301192301194,301192,301194,,19
73,RN301195301196,301195,301196,,95
74,RN301197301199,301197,301199,,29
75,RN301200301203,301200,301203,,71
76,RN301205301206,301205,301206,,71
77,RN301207301208,301207,301208,,76
78,RN301213320024,301213,320024,,3
79,RN320045333001,320045,333001,,22
80,RN333002333003,333002,333003,,36
81,RN333004333005,333004,333005,,1
82,RN333006333007,333006,333007,,92
83,RN333008333009,333008,333009,,79
84,RN333010333011,333010,333011,,45
85,RN333012333013,333012,333013,,80
86,RN333014333015,333014,333015,,57
87,RN333016333017,333016,333017,,27
88,RN333018333019,333018,333019,,32
89,RN333020333021,333020,333021,,12
90,RN333022333023,333022,333023,,83
91,RN333024333025,333024,333025,,52
92,RN333026333027,333026,333027,,25
93,RN333028333029,333028,333029,,74
94,RN333030333031,333030,333031,,66
95,RN333032333033,333032,333033,,11
96,RN333034333035,333034,333035,,88
97,RN333036333037,333036,333037,,57
98,RN333038333039,333038,333039,,29
99,RN333040333041,333040,333041,,27
100,RN333042333043,333042,333043,,32
101,RN333044333045,333044,333045,,59
102,RN333046333047,333046,333047,,13
103,RN333048333049,333048,333049,,82
104,RN333050333051,333050,333051,,1
105,RN333052333053,333052,333053,,16
106,RN333054333055,333054,333055,,45
107,RN333056333057,333056,333057,,98
108,RN333058333059,333058,333059,,71
109,RN333060333061,333060,333061,,66
110,RN333062333063,333062,333063,,23
111,RN333064333065,333064,333065,,67
112,RN333066333067,333066,333067,,32
113,RN333068333069,333068,333069,,20
114,RN333070333071,333070,333071,,31
115,RN333072333073,333072,333073,,34
116,RN333074333075,333074,333075,,39
117,RN333076333077,333076,333077,,39
118,RN333078333079,333078,333079,,28
119,RN333080333081,333080,333081,,99
120,RN333082333098,333082,333098,,84
121,RN333108333117,333108,333117,,47
122,RN333120333131,333120,333131,,27
123,RN333134333136,333134,333136,,22
124,RN333138333146,333138,333146,,51
125,RN333149333156,333149,333156,,35
